doc_id,argument,score
9,fyi,0.7242755889892578
11,fyi b6,0.844292402267456
13,fyi,0.7242755889892578
15,_ from randolph lawrence sent wednesday september 12 2012 to mills cheryl subject re not dry eye in nea including mine her remarks were really moving chriswas an amazing man such huge loss you know was in libya before coming here and in my almost ten years have never worked with such calm cool headed funny diplomat made it all seem really easy even in one of the hardest places to work in the world,0.9989190101623535
16,asked to attend your svtc today with embassy tripoli because had first met so many of that staff when went with you from malta to tripoli for the reopening of our embassy todays deaths hit me much harder than would have guessed am always proud to serve under you but never have your words been more meaningful than on todays svtc every day of your tenure has been extraordinary but none more so than today thank you again for your inspirational leadership and example as ever harold us department of state case no f201504841 doc no c05739571 date state dept produced to house select benghazi comm subject to agreement on sensitive information redactions no foia waiver statescb0045269,0.9756671786308289
17,hope see picture below kamala sent,0.9437116980552673
19,this is nice,0.9996240139007568
20,amazing sullivan jacob wednesday september 12 2012 sherman wendy mills cheryl nuland victoria reines philippe re the youth of libya,0.978804349899292
25,b5,0.8874126672744751
27,will do,0.9995079040527344
28,remind me to discuss,0.9752516150474548
31,fyi,0.7242755889892578
32,embassy in yemen,0.962261974811554
35,fyi,0.7242755889892578
39,im giving you credit for inspiring the peaceful protests,0.9992502331733704
41,fyi,0.7242755889892578
42,deserved great teamwork great leadership,0.9992156028747559
45,fyi,0.7242755889892578
48,pis let me know what phil finds out asap thx,0.8068985939025879
49,b5,0.8874126672744751
50,deserved by leadership let me be dear meant the 3 of you especially our secretary lovely speech,0.9991507530212402
55,your remarks this afternoon at andrews were wonderful thanks for doing so much for our institution on such sad day just sent you hi side note on visits tajordan and iraq and look forward to catching up enjoy the weekend in the meantime bill us department of state case no f201504841 doc no c05739626 date state dept produced to house select benghazi comm subject to agreement on sensitive information redactions no foia waiver statescb0045325,0.6743881702423096
66,when is chris stevens going,0.5736631751060486
69,fyi,0.7242755889892578
70,october 6 2012 for hillary,0.9880411624908447
74,useful insight pls circulate,0.9886143207550049
75,,0.8342747092247009
77,postelection wed like to have you over for dinner bill can come too if hes in town whatever works,0.9758288264274597
78,will do sullivan jacob sunday october 7 2012 re great to see you drop in again heres libya sid,0.998528003692627
79,thanked prince saud,0.9946382641792297
80,_,0.6041171550750732
82,hillary just want to offer my personal condolences over the loss of four fine foreign service officers the ambassador was perfect role model of the kind of person we need representing us around the world and the others had so much to give and already had given so much know it has been hard week for you and wanted simply to express my sympathy and tell you was thinking of you bob gates us department of state case no f201504841 doc no c05739655 date state dept produced to house select benghazi comm subject to agreement on sensitive information redactions no foia waiver statescb0045336,0.8710950016975403
83,can you call me,0.7877804040908813
91,we will send printed copy to you with the book tonight should be there shortly,0.9528887867927551
93,yes ii give memo to service downstairs what about holder and the king,0.5950472354888916
94,survive yes pat helped level set things tonight and well see where we are in the morning,0.9989218711853027
97,thank you we are offering 7pm to holder and waiting to hear if he would like to speak secure we likely wont hear from the king for several hours but will keep you posted as soon as we do,0.7748028039932251
100,,0.8342747092247009
104,ok thx also are you in dc,0.9463772773742676
105,,0.8342747092247009
107,here you go,0.9888048768043518
110,no im sorry im actually in florida for the weekend,0.7625247240066528
112,ok,0.9991399049758911
113,is dan coming at 9,0.6638940572738647
115,his office called and said that he is available now do you want to take it this morning,0.8045539855957031
116,can do it right now,0.9832041263580322
118,can do it right now,0.9832041263580322
120,fyi,0.7242755889892578
127,nudge morsi rice the president wasnt signaling any change in the nature of our relationship obviously the president had conversation with president morsi and very productive one in which he underscored that its of course the responsibility of the egyptian government as host to protect diplomatic personnel and facilities including our own and we saw that president morsi immediately after that took dramatic steps to improve the security of our facilities in cairo and elsewhere and then went out and repeatedly made number of very important and powerful statements condemning the violence and conveying the message that however hateful such video may be there is absolutely no justification for violence against the united states or other western partners so what weve seen is that the president has been incredibly calm incredibly steady and incredibly measured in his approach to this set of developments and his interventions his leadership has ensured that in egypt in yemen in tunisia in libya and many other parts of the world that leaders have come out and made very plain that theres no excuse for this violence we heard prime minister erdogan of turkey say the same we heard the grand mufti in saudi arabia say the same that theres no excuse for violence that violence is to be condemned and that governments have responsibility to protect united states personnel and facilities and those of all foreign diplomats tapper know you have to go but very quickly was the president in that interview trying to nudge president morsi get your act together us department of state case no f201504841 doc no c05739704 date state dept produced to house select benghazi comm subject to agreement on sensitive information redactions no foia waiver statescb0045376 us department of state case no f201504841 doc no c05739704 date state dept produced to house select benghazi comm subject to agreement on sensitive information redactions no foia waiver rice no think that the president communicated directly with with president morsi and had the opportunity to to understand our expectation that egypt will do what it can to protect our facilities so that that was conveyed very directly and the results were immediate and quite satisfactory tapper dr rice thank you so much for coming here today and answering our questions rice good to be with you end us department of state case no f201504841 doc no c05739704 date state dept produced to house select benghazi comm subject to agreement on sensitive information redactions no foia waiver statescb0045377,0.9773339629173279
128,june 3 2011 for hillary,0.9947323799133301
129,,0.8342747092247009
130,as planned,0.9959924817085266
132,very nice can you talk,0.9992865920066833
135,good,0.9997060894966125
137,im at home in ny so just call when and if you can,0.9564282894134521
