doc_id,text,label,score,start,end
0,q,I-PER,0.6582859,52,53
0,##ad,I-PER,0.66731936,53,55
0,##da,I-MISC,0.30617914,55,57
2,##yr,I-LOC,0.5345271,45,47
2,q,I-PER,0.7099712,60,61
2,##ad,I-PER,0.78614116,61,63
2,##da,I-MISC,0.2942725,63,65
3,ben,I-LOC,0.74271226,493,496
3,##gh,I-LOC,0.9794636,496,498
3,##azi,I-LOC,0.99302566,498,501
4,##yr,I-LOC,0.5345271,45,47
4,q,I-PER,0.7099712,60,61
4,##ad,I-PER,0.78614116,61,63
4,##da,I-MISC,0.2942725,63,65
10,al,I-PER,0.89702815,350,352
10,##qa,I-PER,0.691796,352,354
10,##dd,I-PER,0.5091572,354,356
10,q,I-PER,0.9627185,419,420
10,##ad,I-PER,0.9538642,420,422
10,##da,I-PER,0.579671,422,424
22,##nt,I-ORG,0.73276716,12,14
25,am,I-MISC,0.9701619,139,141
25,##eric,I-MISC,0.99463695,141,145
25,##an,I-MISC,0.99543154,145,147
25,##eric,I-MISC,0.7795888,377,381
32,##rica,I-LOC,0.87420756,241,245
32,##rench,I-MISC,0.99826103,412,417
32,##ues,I-MISC,0.69455117,428,431
32,##e,I-MISC,0.9823782,431,432
34,ben,I-LOC,0.77479786,100,103
34,##gh,I-LOC,0.907426,103,105
34,##azi,I-LOC,0.96369594,105,108
46,##gh,I-LOC,0.9433511,261,263
46,##azi,I-LOC,0.9863252,263,266
49,##jord,I-LOC,0.9748639,152,156
49,##an,I-LOC,0.8766724,156,158
49,i,I-LOC,0.893264,163,164
49,##ra,I-LOC,0.7258366,164,166
49,##q,I-LOC,0.86730367,166,167
49,ben,I-LOC,0.7149734,339,342
49,##gh,I-LOC,0.95948154,342,344
49,##azi,I-LOC,0.9939021,344,347
50,##nt,I-ORG,0.5091252,27,29
51,east,I-LOC,0.9768645,113,117
51,am,I-MISC,0.8490334,144,146
51,##eric,I-MISC,0.87446016,146,150
51,##an,I-MISC,0.93881935,150,152
51,east,I-LOC,0.97599673,301,305
51,##yr,I-LOC,0.99171865,310,312
51,##pt,I-LOC,0.97526675,380,382
53,ben,I-LOC,0.8712231,36,39
53,##gh,I-LOC,0.96968085,39,41
53,##azi,I-LOC,0.9875514,41,44
53,##rench,I-MISC,0.99839526,483,488
54,##gh,I-LOC,0.58097196,38,40
